tsne1,tsne2,reciter
11.529263,3.7874553,Nasser_Alqutami
2.1476128,8.139959,Nasser_Alqutami
4.053436,-2.2966676,Nasser_Alqutami
3.9386182,-0.21610756,Nasser_Alqutami
-4.009708,9.563133,Nasser_Alqutami
11.542138,3.7744484,Nasser_Alqutami
-7.5644608,3.8813245,Nasser_Alqutami
3.6613545,-8.406089,Nasser_Alqutami
-5.550286,7.943276,Nasser_Alqutami
-4.9659147,8.636043,Nasser_Alqutami
-8.613992,4.3481107,Nasser_Alqutami
2.3001854,8.154869,Nasser_Alqutami
-7.68165,4.029803,Nasser_Alqutami
2.0916522,8.10263,Nasser_Alqutami
2.2565637,8.157447,Nasser_Alqutami
-9.086356,4.24503,Nasser_Alqutami
6.637845,9.795335,Nasser_Alqutami
-8.394895,4.346616,Nasser_Alqutami
-3.4967916,9.570726,Nasser_Alqutami
3.4315856,-0.40335354,Nasser_Alqutami
-3.2764447,8.106118,Nasser_Alqutami
-8.001094,4.3936534,Nasser_Alqutami
2.1007726,8.156274,Nasser_Alqutami
-3.2141335,9.637211,Nasser_Alqutami
3.7520113,-2.3480134,Nasser_Alqutami
-3.5727057,9.490354,Nasser_Alqutami
